group_number,status,source_url,first_seen_at,last_verified_at,notes
1241,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1242,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1243,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1244,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1245,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1246,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1247,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1248,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1249,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1250,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1251,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1252,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1253,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1254,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1255,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1256,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1257,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1258,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1259,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
1260,active,https://www.asrhealthbenefits.com/MRF,2026-06-24,2026-06-24,confirmed by 0001-9999 ASR HEAD sweep
